Branch,CGPA,AllottedStationName,Stipend,AllotedSemester1,AllotedSemester2
A7,10,Zomato (Grofers),60000,0,1
A7,9.98,Goldman Sachs - Hyderabad,191666,0,1
A7,9.96,"Nutanix , Bengaluru / Pune",110000,0,1
A7,9.91,"Nutanix , Bengaluru / Pune",110000,0,1
A7,9.88,"Nutanix , Bengaluru / Pune",110000,0,1
A7,9.87,Qube Research and Technology India LLP,"2,91,667",0,1
B3A7,9.86,"D. E. Shaw India Private Limited - Project 1,Hyderabad",283000,0,1
A7,9.85,"Nutanix , Bengaluru / Pune",110000,0,1
A7,9.84,"Confluent India Pvt Ltd.,Bengaluru",110000,0,1
A7,9.78,"Oracle, Bangalore",100000,0,1
A7,9.76,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
A7,9.7,"Tower Research Capital, Gurugram",180000,0,1
A7,9.69,"Rubrik,Bengaluru",175000,0,1
A7,9.69,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
A7,9.67,"Singlestore India Pvt Ltd,Hyderabad",150000,0,1
A7,9.63,"UBER - Data Science, Hyderabad/Bengaluru",187000,0,1
B4A7,9.59,"UBER - Software Engineer, Hyderabad/Bengaluru",177000,1,1
A7,9.59,"Oracle, Bangalore",100000,0,1
B3A7,9.58,"UBER - Data Science, Hyderabad/Bengaluru",187000,1,1
AA,9.58,Procter & Gamble (P&G),170000,0,1
A4,9.58,"A.T. Kearney Consulting (India) Private Limited,Gurugram",125000,0,1
A4,9.57,"JPMC - G&C - CIO, Treasury & Corporate (CTC) Risk team - Credit Risk/ Liquidity Risk",150000,0,1
A7,9.55,Texas Instruments -- Software Development- SDE,60000,0,1
B3A7,9.54,"PhonePe Private Limited,Bengaluru",80000,0,1
A7,9.53,"Cohesity Storage Solutions India Pvt. Ltd., Bengaluru/Pune",120000,0,1
B3A7,9.52,JP Morgan Chase-quant,N/A,0,1
A7,9.52,Capital One,100000,0,1
AA,9.51,"Tenstorrent ,Bengaluru",100000,0,1
B3A7,9.5,"Tower Research Capital, New York",1050000,0,1
B4A7,9.47,"Oracle, Bangalore",100000,1,1
A7,9.47,"Confluent India Pvt Ltd.,Bengaluru",110000,0,1
A7,9.46,AMAZON SDE,143000,0,1
A7,9.43,"Singlestore India Pvt Ltd,Hyderabad",150000,0,1
A7,9.43,"D. E. Shaw India Private Limited - Project 1,Hyderabad",283000,0,1
A3,9.42,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
A7,9.42,"Nutanix , Bengaluru / Pune",110000,0,1
A4,9.414,"JPMC CIB Research & Analytics, Markets - Trading and Structuring",175000,1,0
A7,9.41,QUALCOMM,45000,0,1
A4,9.41,JPMC CIB Research & Analytics Markets - CCAR & Sales,150000,0,1
A7,9.41,"Intuit India,Bengaluru",120000,0,1
N/A,5,RD Consultants,N/A,0,1
A7,9.39,Zomato (Grofers),60000,0,1
A7,9.39,Texas Instruments - Embedded Software,60000,0,1
A3,9.39,QUALCOMM,45000,0,1
A7,9.39,"Nutanix , Bengaluru / Pune",110000,0,1
A7,9.38,Telus International - Machine Learning,150000,0,1
A4,9.37,"UBS- Product Control (Finance), Pune",60000,0,1
AA,9.37,Apple Software engineering-WTE team,90000,0,1
A7,9.37,Apple Software engineering-WTE team,90000,0,1
B1A7,9.36,Salesforce,150000,1,1
A3,9.36,"Renesas, Hyderabad",45000,0,1
A7,9.35,"Singlestore India Pvt Ltd,Hyderabad",150000,0,1
B4A7,9.35,"Singlestore India Pvt Ltd,Hyderabad",150000,1,1
A7,9.4,IMC India Securities Private Limited,550000,0,1
A7B3,9.33,JPMC GF&BM FESA Data Science,175000,0,1
AA,9.33,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,9.33,"Cohesity Storage Solutions India Pvt. Ltd., Bengaluru/Pune",120000,0,1
AA,9.324,JPMC GR&C AWM Risk Analytics – Quantitative Research,175000,1,0
A7,9.32,"Cohesity Storage Solutions India Pvt. Ltd., Bengaluru/Pune",120000,0,1
A7,9.32,"Cohesity Storage Solutions India Pvt. Ltd., Bengaluru/Pune",120000,0,1
AA,9.3,Wayfair Global Technology Pvt. Ltd- Search and Recommendations,100000,0,1
A7,9.3,"Oracle, Bangalore",100000,0,1
B2A3,9.29,Texas Instruments -- Digital,60000,0,1
A7,9.29,"Rubrik,Bengaluru",175000,0,1
B3A7,9.29,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,0,1
A7,9.29,"Arista Networks India Private Limited,Bengaluru",75000,0,1
A7,9.29,"Apple-ML- MSI,Product Ops team",90000,0,1
A7,9.27,"Yugabyte, Bengaluru",125000,0,1
AA,9.27,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
A4,9.27,"JPMC - GR&C CTC Risk - CIO, Treasury & Corporate (CTC) Risk team",150000,1,0
B3A7,9.27,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,0,1
AA,9.26,Texas Instruments -- Digital,60000,0,1
B5A7,9.26,"D. E. Shaw India Private Limited - Project 3,Hyderabad",200000,0,1
A7,9.25,Walmart,100000,0,1
B5AA,9.25,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",1,1
B3A4,9.25,Morgan Stanley Quant (Model) Audit Team,100000,1,1
A7,9.25,Capital One,100000,0,1
A7,9.243,"American Express - AiDa, Bengaluru",N/A,1,0
A3,9.24,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,9.24,"Arista Networks India Private Limited,Bengaluru",75000,0,1
A7,9.231,Morgan Stanley FID Research roles,125000,1,
A7,9.23,"Intuit India,Bengaluru",120000,0,1
A7,9.23,Google India Software,123333,0,1
A1,8.861,"JPMC - GR&C CTC Risk - CIO, Treasury & Corporate (CTC) Risk team",150000,1,0
A7,9.23,"e6data,Bengaluru",N/A,0,1
A7,9.21,"Oracle, Bangalore",100000,,1
AA,9.21,Google India Software,123333,0,1
B3A7,9.19,Goldman Sachs - Hyderabad,191666,0,1
AA,9.18,Wayfair Global Technology Pvt. Ltd- GST,100000,0,1
A7,9.18,IMC India Securities Private Limited,550000,0,1
A7,9.18,"Arista Networks India Private Limited,Bengaluru",75000,0,1
A4,9.171,JPMC CIB R&A – Banking,75000,1,0
A7,9.17,QUALCOMM,45000,0,1
A3,9.17,"Flipkart (Software Development),Bengaluru",100000,0,1
AA,9.16,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",0,1
AA,9.16,"Ericsson Global India Pvt. Ltd.,Bengaluru",60000,0,1
A7,9.15,Google India Software,123333,0,1
A7,9.15,Dreamplug Technologies - DS,N/A,0,1
A7,9.14,Traceable.ai,N/A,0,1
AA,9.14,"Flipkart (Software Development),Bengaluru",100000,0,1
A7,9.14,"Apple-Software Development Engineering , IS&T",90000,0,1
A7,9.13,Traceable.ai,N/A,0,1
A7,9.13,AMAZON SDE,143000,0,1
B5A7,9.12,JPMC - GR&C WCR Portfolio Analytics- Analytics Strategy,150000,1,1
A7,9.12,"Cohesity Storage Solutions India Pvt. Ltd., Bengaluru/Pune",120000,0,1
AA,9.11,JPMC CIB Research & Analytics Markets - CCAR & Sales,150000,0,1
A7,9.1,Wayfair Global Technology Pvt. Ltd- Search and Recommendations,100000,0,1
B3AA,9.09,Wayfair Global Technology Pvt. Ltd- Search and Recommendations,100000,1,1
A3,9.09,"Micron Technology, Hyderabad/ Bangalore",50000,0,1
A7,9.08,"Project44 Software Services Pvt. Ltd., Bengaluru",135000,0,1
A7,9.08,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,0,1
A7,9.08,"Apple-Software Development Engineering , IS&T",90000,0,1
A7,9.07,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,0,1
A3,9.07,ALLEGRO MICRO SYSTEMS,N/A,0,1
A7,9.06,Telus International - Machine Learning,150000,0,1
AA,9.06,"Renesas, Hyderabad",45000,0,1
A7,9.06,"Oracle, Bangalore",100000,0,1
B1AA,9.06,"Nutanix , Bengaluru / Pune",110000,1,1
AA,9.056,Nvidia Graphics - Bengaluru/Hyderabad,"80,000",1,0
B4A7,9.05,"Project44 Software Services Pvt. Ltd., Bengaluru",135000,1,1
A7,9.05,Harness.io,80000,0,1
A7,9.05,Apple Software engineering-WTE team,90000,0,1
A7,9.04,"Yugabyte, Bengaluru",125000,0,1
AA,9.04,QUALCOMM,45000,0,1
B3AA,9.04,JPMC GF&BM FESA Data Science,175000,1,1
A4,9.04,DBOI MVRM Ex Vals,50000,0,1
AA,9.03,Texas Instruments - Analog,60000,0,1
A7,9.03,"Oracle, Bangalore",100000,0,1
AA,9.03,"Flipkart (Software Development),Bengaluru",100000,1,1
B5A7,9.02,"Nutanix , Bengaluru / Pune",110000,1,1
A3,9.02,"Aptiv ,Bengaluru",50000,0,1
A7,9,Wayfair Global Technology Pvt. Ltd-SCRT,100000,0,1
A8,9,"Tenstorrent ,Bengaluru",100000,0,1
B2A3,9,Scapia Technology Private Limited - Software Engineering,100000,0,1
AA,9,QUALCOMM,45000,0,1
A3,9,"Flipkart (Software Development),Bengaluru",100000,0,1
B3A7,8.99,"DevRev Cloud India Pvt. Ltd.,Bengaluru",100000,1,1
A8,8.98,RingCentral India Pvt Ltd,50000,0,1
A7,8.98,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,0,1
A5,8.98,"DBOI- Global Reporting,Mumbai/Pune",50000,0,1
A7,8.98,Capital One,100000,0,1
B3A7,8.98,"Apple-Software Development Engineering , IS&T",90000,0,1
A7,8.97,Walmart,100000,0,1
A7,8.97,Apple- SW-BPR,90000,0,1
A4,8.963,Telus International - Product Management,70000,1,0
AA,8.963,"Nutanix , Bengaluru / Pune",110000,1,
A7,8.96,"Yugabyte, Bengaluru",125000,0,1
B1A7,8.96,"Eightfold AI India Pvt Ltd, Bengaluru/Noida",120000,1,1
AA,8.95,QUALCOMM,45000,0,1
